week_start_date,date_key
2026-03-15,20260315
2026-03-08,20260308
2026-03-01,20260301
2026-02-22,20260222
2026-02-15,20260215
2026-02-08,20260208
2026-02-01,20260201
2026-01-25,20260125
2026-01-18,20260118
2026-01-11,20260111
2026-01-04,20260104
2025-12-28,20251228
2025-12-21,20251221
2025-12-14,20251214
2025-12-07,20251207
2025-11-30,20251130
2025-11-23,20251123
2025-11-16,20251116
2025-11-09,20251109
2025-11-02,20251102
2025-10-26,20251026
2025-10-19,20251019
2025-10-12,20251012
2025-10-05,20251005
2025-09-28,20250928
2025-09-21,20250921
2025-09-14,20250914
2025-09-07,20250907
2025-08-31,20250831
2025-08-24,20250824
2025-08-17,20250817
2025-08-10,20250810
2025-08-03,20250803
2025-07-27,20250727
2025-07-20,20250720
2025-07-13,20250713
2025-07-06,20250706
2025-06-29,20250629
2025-06-22,20250622
2025-06-15,20250615
2025-06-08,20250608
2025-06-01,20250601
2025-05-25,20250525
2025-05-18,20250518
2025-05-11,20250511
2025-05-04,20250504
2025-04-27,20250427
2025-04-20,20250420
2025-04-13,20250413
2025-04-06,20250406
2025-03-30,20250330
2025-03-23,20250323
2025-03-16,20250316
2025-03-09,20250309
2025-03-02,20250302
2025-02-23,20250223
2025-02-16,20250216
2025-02-09,20250209
2025-02-02,20250202
2025-01-26,20250126
2025-01-19,20250119
2025-01-12,20250112
2025-01-05,20250105
2024-12-29,20241229
2024-12-22,20241222
2024-12-15,20241215
2024-12-08,20241208
2024-12-01,20241201
2024-11-24,20241124
2024-11-17,20241117
2024-11-10,20241110
2024-11-03,20241103
2024-10-27,20241027
2024-10-20,20241020
2024-10-13,20241013
2024-10-06,20241006
2024-09-29,20240929
2024-09-22,20240922
2024-09-15,20240915
2024-09-08,20240908
2024-09-01,20240901
2024-08-25,20240825
2024-08-18,20240818
2024-08-11,20240811
2024-08-04,20240804
2024-07-28,20240728
2024-07-21,20240721
2024-07-14,20240714
2024-07-07,20240707
2024-06-30,20240630
2024-06-23,20240623
2024-06-16,20240616
2024-06-09,20240609
2024-06-02,20240602
2024-05-26,20240526
2024-05-19,20240519
2024-05-12,20240512
2024-05-05,20240505
2024-04-28,20240428
2024-04-21,20240421
2024-04-14,20240414
2024-04-07,20240407
2024-03-31,20240331
2024-03-24,20240324
2024-03-17,20240317
2024-03-10,20240310
2024-03-03,20240303
2024-02-25,20240225
2024-02-18,20240218
2024-02-11,20240211
2024-02-04,20240204
2024-01-28,20240128
2024-01-21,20240121
2024-01-14,20240114
2024-01-07,20240107
2023-12-31,20231231
2023-12-24,20231224
2023-12-17,20231217
2023-12-10,20231210
2023-12-03,20231203
2023-11-26,20231126
2023-11-19,20231119
2023-11-12,20231112
2023-11-05,20231105
2023-10-29,20231029
2023-10-22,20231022
2023-10-15,20231015
2023-10-08,20231008
2023-10-01,20231001
2023-09-24,20230924
2023-09-17,20230917
2023-09-10,20230910
2023-09-03,20230903
2023-08-27,20230827
2023-08-20,20230820
2023-08-13,20230813
2023-08-06,20230806
2023-07-30,20230730
2023-07-23,20230723
2023-07-16,20230716
2023-07-09,20230709
2023-07-02,20230702
2023-06-25,20230625
2023-06-18,20230618
2023-06-11,20230611
2023-06-04,20230604
2023-05-28,20230528
2023-05-21,20230521
2023-05-14,20230514
2023-05-07,20230507
2023-04-30,20230430
2023-04-23,20230423
2023-04-16,20230416
2023-04-09,20230409
2023-04-02,20230402
2023-03-26,20230326
2023-03-19,20230319
2023-03-12,20230312
2023-03-05,20230305
2023-02-26,20230226
2023-02-19,20230219
2023-02-12,20230212
2023-02-05,20230205
2023-01-29,20230129
2023-01-22,20230122
2023-01-15,20230115
2023-01-08,20230108
2023-01-01,20230101
2022-12-25,20221225
2022-12-18,20221218
2022-12-11,20221211
2022-12-04,20221204
2022-11-27,20221127
2022-11-20,20221120
2022-11-13,20221113
2022-11-06,20221106
2022-10-30,20221030
2022-10-23,20221023
2022-10-16,20221016
2022-10-09,20221009
2022-10-02,20221002
2022-09-25,20220925
2022-09-18,20220918
2022-09-11,20220911
2022-09-04,20220904
2022-08-28,20220828
2022-08-21,20220821
2022-08-14,20220814
2022-08-07,20220807
2022-07-31,20220731
2022-07-24,20220724
2022-07-17,20220717
2022-07-10,20220710
2022-07-03,20220703
2022-06-26,20220626
2022-06-19,20220619
2022-06-12,20220612
2022-06-05,20220605
2022-05-29,20220529
2022-05-22,20220522
2022-05-15,20220515
2022-05-08,20220508
2022-05-01,20220501
2022-04-24,20220424
2022-04-17,20220417
2022-04-10,20220410
2022-04-03,20220403
2022-03-27,20220327
2022-03-20,20220320
2022-03-13,20220313
2022-03-06,20220306
2022-02-27,20220227
2022-02-20,20220220
2022-02-13,20220213
2022-02-06,20220206
2022-01-30,20220130
2022-01-23,20220123
2022-01-16,20220116
2022-01-09,20220109
2022-01-02,20220102
2021-12-26,20211226
2021-12-19,20211219
2021-12-12,20211212
2021-12-05,20211205
2021-11-28,20211128
2021-11-21,20211121
2021-11-14,20211114
2021-11-07,20211107
2021-10-31,20211031
2021-10-24,20211024
2021-10-17,20211017
2021-10-10,20211010
2021-10-03,20211003
2021-09-26,20210926
2021-09-19,20210919
2021-09-12,20210912
2021-09-05,20210905
2021-08-29,20210829
2021-08-22,20210822
2021-08-15,20210815
2021-08-08,20210808
2021-08-01,20210801
2021-07-25,20210725
2021-07-18,20210718
2021-07-11,20210711
2021-07-04,20210704
