show_business_key,show_title,season_title,category,show_title_key,imdb_rating,imdb_votes,genre,show_key
war machine|films|no season,War Machine,No Season,Films,war machine,6.3,,Action,1
strangers in the park|films|no season,Strangers in the Park,No Season,Films,strangers in the park,6.5,,Comedy,2
joker: folie à deux|films|no season,Joker: Folie à Deux,No Season,Films,joker: folie à deux,5.2,,Drama,3
trolls band together|films|no season,Trolls Band Together,No Season,Films,trolls band together,6.0,,Adventure,4
double jeopardy|films|no season,Double Jeopardy,No Season,Films,double jeopardy,6.5,,Crime,5
hierarchy|films|no season,Hierarchy,No Season,Films,hierarchy,6.1,,Drama,6
five nights at freddy's|films|no season,Five Nights at Freddy's,No Season,Films,five nights at freddy's,5.4,,Horror,7
shark tale|films|no season,Shark Tale,No Season,Films,shark tale,6.0,,Adventure,8
kpop demon hunters|films|no season,KPop Demon Hunters,No Season,Films,kpop demon hunters,7.4,,Action,9
firebreak|films|no season,Firebreak,No Season,Films,firebreak,5.7,,Drama,10
that night|tv|that night: limited series,That Night,That Night: Limited Series,TV,that night,6.6,,Drama,11
one piece|tv|one piece: season 2,ONE PIECE,ONE PIECE: Season 2,TV,one piece,9.0,,Action,12
the dinosaurs|tv|the dinosaurs: season 1,The Dinosaurs,The Dinosaurs: Season 1,TV,the dinosaurs,6.9,,Adventure,13
in the mud|tv|in the mud: season 2,In the Mud,In the Mud: Season 2,TV,in the mud,6.4,,Crime,14
love & death|tv|love & death: season 1,Love & Death,Love & Death: Season 1,TV,love & death,8.4,,Action,15
virgin river|tv|virgin river: season 7,Virgin River,Virgin River: Season 7,TV,virgin river,7.4,,Drama,16
bridgerton|tv|bridgerton: season 4,Bridgerton,Bridgerton: Season 4,TV,bridgerton,7.5,,Drama,17
doc|tv|doc: season 1,DOC,DOC: Season 1,TV,doc,7.5,,Action,18
the tiktok killer|tv|the tiktok killer: limited series,The TikTok Killer,The TikTok Killer: Limited Series,TV,the tiktok killer,5.8,,Crime,19
the queen of flow|tv|the queen of flow: season 3,The Queen of Flow,The Queen of Flow: Season 3,TV,the queen of flow,7.6,,Drama,20
accused|films|no season,Accused,No Season,Films,accused,7.1,,Crime,21
